asn,type,name
701,RESIDENTIAL,Verizon
2856,RESIDENTIAL,BT
3215,RESIDENTIAL,Orange
3320,RESIDENTIAL,Deutsche Telekom
4134,RESIDENTIAL,China Telecom
4766,RESIDENTIAL,Korea Telecom
5089,RESIDENTIAL,Virgin Media
7018,RESIDENTIAL,AT&T
7922,RESIDENTIAL,Comcast
8075,DATACENTER,Microsoft Azure
8151,RESIDENTIAL,Telmex
9009,VPN,M247
9829,RESIDENTIAL,BSNL
12389,RESIDENTIAL,Rostelecom
12876,DATACENTER,Scaleway
13335,DATACENTER,Cloudflare
14061,DATACENTER,DigitalOcean
14618,DATACENTER,Amazon AES
15169,DATACENTER,Google
16276,DATACENTER,OVH
16509,DATACENTER,Amazon AWS
17676,RESIDENTIAL,SoftBank
20473,DATACENTER,Vultr / Choopa
24560,RESIDENTIAL,Bharti Airtel
24940,DATACENTER,Hetzner
28573,RESIDENTIAL,Claro Brasil
39351,VPN,31173 Services (Mullvad)
44477,BULLETPROOF,Stark Industries
45102,DATACENTER,Alibaba Cloud
45609,RESIDENTIAL,Bharti Airtel Mobile
49981,BULLETPROOF,WorldStream
51167,DATACENTER,Contabo
55836,RESIDENTIAL,Reliance Jio
60068,VPN,Datacamp / CDN77
63949,DATACENTER,Akamai Linode
132203,DATACENTER,Tencent Cloud
136787,VPN,TEFINCOM (NordVPN)
202425,BULLETPROOF,IP Volume
212238,VPN,Datacamp
396982,DATACENTER,Google Cloud
